"Car","Price","Colour"
"t271n","2478","31"
"t271n","3109","35"
"tsgtn","4177","36"
"tsgtn","4594","62"
"t2con","4915","62"
"t211n","5144","62"
"ttr1n","7356","31"
"t285n","7651","34"
"tlevn","7728","6D"
"tlvon","8090","31"
"t2c4n","8113","34"
"ttron","8448","31"
"ttrnn","8565","31"
"tspon","8918","6C"
"tstln","9705","34"
"tspon","10065","36"
"tspon","11675","31"
"tm2vn","11942","61"
"tm2vn","12010","31"
"tm2vn","12605","6D"
"tceln","12976","36"
"tceln","13154","31"
"tmrln","13295","62"
"tsorn","14658","6D"
"tcegn","15092","31"
"t2c3n","15734","62"
"t2spn","16087","35"
"t2spn","16510","67"
"tcegn","16780","71"
"t2a1n","17519","34"
"tmr2n","17910","31"
"tsoon","18152","65"
"tmr2n","18705","68"
"tsprn","20161","71"
"tsoon","20457","62"
"tsonn","23433","62"
"tspnn","24920","71"
"tspnn","27191","31"
"t22gn","113118","79"
