"Car","Price","Colour"
"t2con","4949","31"
"ttr1n","5127","62"
"t2con","5373","35"
"tlv1n","5403","35"
"t211n","5720","37"
"t2xxn","5723","34"
"t211n","5861","71"
"tsgtn","5979","71"
"tlvon","6649","62"
"tlv1n","6722","31"
"t2c4n","6986","35"
"tstln","8203","62"
"ttrnn","8736","31"
"tspon","9508","6C"
"tstln","9954","34"
"t2crn","11421","65"
"tceln","11869","62"
"tm2vn","12452","6D"
"tceln","13011","36"
"t2spn","14772","36"
"tsorn","15282","36"
"t2c3n","15988","62"
"t2a1n","17707","34"
"tmr2n","18177","31"
"tsprn","18389","34"
"tmr2n","18788","6D"
"tsoon","21817","36"
"tspnn","25977","71"
