"Car","Price","Colour"
"a2bsn","5118","36"
"a2bsn","5437","71"
"a222n","6100","68"
"av16n","6894","6D"
"afr7n","7459","36"
"adlxn","7589","71"
"afr7n","7885","73"
"altsn","8095","36"
"as16n","8158","36"
"aminn","8171","6D"
"altsn","8331","70"
"ademn","8439","6B"
"amivn","9264","36"
"a2spn","9997","37"
"ademn","10194","32"
"a2aan","10754","71"
"a2spn","11050","31"
"acosn","11421","71"
"afc7n","11712","31"
"a2gsn","12412","36"
"a2spn","12511","36"
"a2spn","14681","6D"
"acosn","16051","36"
"acoen","18827","71"
"afb7n","18929","34"
"afx7n","21175","36"
"acoen","22946","34"
"a2rsn","23535","31"
"a2rzn","27998","36"
