"Car","Price","Colour"
"nq13n","2465","34"
"n2mtn","3187","31"
"n2mtn","3350","36"
"n2mtn","3451","71"
"nq23n","3784","71"
"ns13n","3929","36"
"ns13n","4195","71"
"nq23n","4338","62"
"npron","4348","36"
"nm32n","5267","73"
"npron","5474","6C"
"npron","5475","34"
"nm32n","5528","6F"
"npron","5699","31"
"ns23n","6556","31"
"ns23n","6560","71"
"nprin","7572","71"
"nplon","7762","35"
"n432n","7930","36"
"ns23n","8460","6C"
"ns23n","8597","68"
"nt32n","8617","31"
"ns23n","8807","61"
"ns23n","8946","6D"
"nq14n","9087","70"
"nprin","9459","36"
"n432n","9491","62"
"nq15n","11757","62"
"nq15n","11996","36"
"ns14n","13456","31"
"nt33n","13459","31"
"nzxvn","13840","62"
"ns15n","14169","62"
"nr02n","14210","73"
"ns15n","15379","34"
"nr02n","15966","62"
"nzx3n","16009","73"
"nzx3n","16033","34"
"n2ksn","16277","76"
"nzx3n","17888","6D"
"nzxsn","19326","34"
"nzxsn","19457","6D"
"n280n","21144","35"
"nr32n","21921","36"
"nr32n","22211","62"
"nr32n","22639","35"
"nr32n","22815","34"
"nn32n","27336","35"
"nr33n","28915","77"
"nr34n","31369","73"
"nv12n","31843","36"
"nv34n","35169","34"
"nr34n","35739","31"
"nv33n","35824","34"
