"Car","Price","Colour"
"s2v4n","8759","31"
"s2vin","9166","36"
"slgnn","11928","62"
"slgnn","12134","65"
"slgnn","12168","34"
"sipwn","13241","73"
"slgwn","13291","73"
"sipzn","14061","36"
"sipcn","14386","65"
"sipzn","14959","65"
"slgbn","15386","73"
"siptn","15979","31"
"sipcn","16355","36"
"ssvxn","17118","35"
"slgbn","17407","34"
"sipan","18135","65"
"s2wwn","18300","65"
"slgan","18671","35"
"ssvxn","18677","34"
"siprn","18744","73"
"s2wwn","19473","36"
"sipbn","19680","70"
"slgbn","20100","36"
"slgan","20267","31"
"slgan","20472","6D"
"s2lbn","21393","73"
"s2i4n","23082","31"
"s2r4n","24093","36"
"s2lbn","24402","34"
"s2i5n","25910","34"
"s2i5n","28328","35"
