"Car","Price","Colour"
"t271n","2784","62"
"t271n","3289","69"
"t2con","4706","62"
"ttr1n","4986","62"
"t2con","5236","65"
"t2con","5395","35"
"tlv1n","5765","62"
"t2con","6027","72"
"ttr1n","6104","35"
"tlvon","6160","62"
"tsgtn","6187","71"
"t285n","7398","31"
"t2c4n","7752","34"
"ttron","7918","31"
"tlevn","8064","73"
"tlevn","8142","6D"
"ttrnn","8375","31"
"tlevn","8452","36"
"tceln","10987","6B"
"t2crn","11540","65"
"tspon","11638","31"
"tceln","12107","62"
"tm2vn","12118","31"
"t2crn","12821","31"
"tmrln","14717","62"
"t2c3n","15147","36"
"t2c3n","15271","6B"
"tsorn","15333","71"
"tmrln","15346","31"
"tmrln","15529","68"
"t2c3n","15896","31"
"t2a1n","17058","61"
"t2spn","17601","34"
"tmr2n","18696","6D"
"tsoon","19950","34"
"tsoon","20684","31"
"tsonn","23196","36"
"tspnn","26654","31"
"t22gn","118117","34"
