"Car","Price","Colour"
"_nax3n","15840","36"
"_naxvn","16173","77"
"_naxsn","16329","6D"
"_naxvn","16376","6D"
"_nax3n","16988","73"
"_naxvn","17063","31"
"_naxvn","17360","73"
"_naxvn","17826","34"
"_naxsn","17881","73"
"_naxsn","18206","34"
"_naxsn","18295","77"
"_nax3n","18422","6D"
"_naxsn","19377","62"
"nzx3n","15840","36"
"nzxvn","16173","77"
"nzxsn","16329","6D"
"nzxvn","16376","6D"
"nzx3n","16988","73"
"nzxvn","17063","31"
"nzxvn","17360","73"
"nzxvn","17826","34"
"nzxsn","17881","73"
"nzxsn","18206","34"
"nzxsn","18295","77"
"nzx3n","18422","6D"
"nzxsn","19377","62"
