"Car","Price","Colour"
"t271n","2823","62"
"t271n","3031","36"
"t271n","3079","35"
"tsgtn","4174","62"
"t2con","4424","62"
"tsgtn","4585","36"
"t2con","5358","35"
"t211n","5378","31"
"t211n","5763","71"
"t2con","5799","72"
"tlv1n","5990","62"
"t2xxn","6171","62"
"tlv1n","6408","31"
"ttron","6529","36"
"tlevn","7616","65"
"ttron","8048","31"
"tlevn","8593","36"
"tstln","8612","62"
"tstln","10286","34"
"tspon","10418","36"
"texvn","11347","34"
"texvn","12178","31"
"tceln","12286","62"
"tceln","12436","36"
"tceln","12600","71"
"tcegn","14758","62"
"tcegn","15239","31"
"tmrln","15590","31"
"t2c3n","16038","31"
"tmrln","16275","68"
"tmrln","16660","6D"
"tcegn","17325","34"
"t2a1n","17622","34"
"tsoon","18202","71"
"tmr2n","18393","68"
"tmr2n","18801","6D"
"tsoon","20564","34"
"tsonn","23738","71"
"tspnn","26133","71"
"tspnn","26852","31"
"t22gn","122260","62"
