"Car","Price","Colour"
"t271n","2522","31"
"t271n","3120","69"
"t2con","5325","65"
"t211n","5616","31"
"tlv1n","5845","35"
"t211n","5845","37"
"ttr1n","6376","35"
"ttr1n","6518","31"
"tsgtn","6529","71"
"t285n","6706","62"
"tlvon","7201","31"
"t2c4n","7817","62"
"tm2sn","7827","6D"
"ttrnn","7847","73"
"ttrnn","8063","65"
"t285n","8126","31"
"tstln","8254","62"
"tlevn","8260","31"
"ttron","8297","31"
"tm2sn","8369","31"
"tm2sn","8999","34"
"tstln","9523","36"
"texvn","10712","71"
"tceln","11004","62"
"tceln","11680","71"
"tspon","11854","31"
"tcegn","14700","36"
"t2c3n","14950","71"
"t2c3n","15646","36"
"tmrln","16027","34"
"tsorn","16032","34"
"t2a1n","16875","6D"
"tcegn","16962","6B"
"t2a1n","17163","61"
"tmr2n","17445","36"
"tmr2n","18402","68"
"tsprn","22002","71"
"t22gn","114380","79"
