"Car","Price","Colour"
"t2con","4825","35"
"t2con","5263","65"
"tlv1n","5551","35"
"t211n","5607","34"
"t2con","5779","72"
"tsgtn","6667","71"
"ttron","7126","62"
"tm2sn","7153","6D"
"t2c4n","7623","65"
"ttrnn","7918","65"
"ttrnn","7938","34"
"ttrnn","7957","6D"
"ttrnn","8324","31"
"ttron","8366","31"
"tlevn","8659","36"
"tm2sn","8958","31"
"tstln","9002","31"
"tspon","10007","62"
"tstln","10227","34"
"t2crn","10315","34"
"tspon","10650","6C"
"tspon","11111","32"
"tceln","11282","6B"
"tm2vn","13439","31"
"tsorn","14468","36"
"tmrln","14526","62"
"tmrln","15039","72"
"tcegn","15205","36"
"t2c3n","15225","62"
"tcegn","15595","62"
"t2c3n","15766","34"
"tmrln","16609","34"
"tmr2n","17728","62"
"tmr2n","17923","31"
"t2spn","18108","34"
"tsprn","18318","31"
"tmr2n","18658","68"
"tsprn","18994","6D"
"tsoon","19548","62"
"tsoon","19898","36"
"tsonn","21628","36"
"tspnn","26185","34"
"tspnn","26617","62"
"t22gn","121020","34"
