"Car","Price","Colour"
"t271n","2465","31"
"t261n","3799","6B"
"t2con","4754","65"
"tsgtn","5237","35"
"t211n","5336","31"
"t2con","5574","72"
"tlv1n","6006","31"
"tsgtn","6452","32"
"t2xxn","6507","62"
"ttron","6665","36"
"t2c4n","6797","65"
"t285n","7199","62"
"t285n","7581","31"
"tm2sn","7596","61"
"t285n","7656","34"
"tstln","8212","62"
"tlevn","8274","31"
"tspon","9150","36"
"tm2vn","10848","34"
"tspon","11799","32"
"tceln","12017","71"
"tceln","12616","36"
"tceln","12694","31"
"tcegn","14077","62"
"tsorn","14476","62"
"tmrln","15600","31"
"t2a1n","17321","34"
"tsoon","18279","71"
"tsoon","19221","6D"
"tsprn","19667","62"
"tsprn","20122","6D"
"tsprn","21003","36"
"tspnn","25195","34"
