"Car","Price","Colour"
"t271n","2956","36"
"t261n","3778","6B"
"ttr1n","5564","62"
"t211n","5614","31"
"t2con","5692","72"
"tlv1n","6381","31"
"tlvon","6596","62"
"ttr1n","6677","31"
"t285n","6790","62"
"tlvon","7518","31"
"t285n","7878","34"
"tstln","8657","62"
"tm2sn","8999","34"
"tspon","9954","6C"
"tstln","9982","34"
"t2crn","10224","62"
"tspon","11199","62"
"texvn","11819","34"
"texvn","12511","31"
"tm2vn","12990","31"
"tmrln","14182","62"
"t2spn","15010","62"
"tmrln","15490","31"
"t2c3n","15804","6B"
"tsorn","16086","71"
"tcegn","16265","6B"
"tmrln","16563","6D"
"tmr2n","18011","68"
"tsprn","19450","34"
"tsprn","20424","35"
"tsonn","22358","34"
"tsonn","22636","62"
"tsonn","24627","6D"
"tspnn","25649","34"
"t22gn","122880","31"
