"Car","Price","Colour"
"t271n","3163","35"
"t2con","3999","34"
"tsgtn","4309","36"
"t261n","4329","62"
"tsgtn","4582","62"
"t2con","4995","35"
"t2xxn","5912","62"
"tlvon","7036","62"
"tlvon","7083","31"
"ttron","7304","31"
"tlevn","7728","6D"
"t285n","7799","31"
"tm2sn","9662","31"
"tspon","10160","71"
"tspon","10509","36"
"t2crn","10658","62"
"tspon","10965","32"
"texvn","11491","34"
"tceln","11877","62"
"tm2vn","12564","31"
"tcegn","15106","36"
"tsorn","15192","34"
"t2c3n","15197","62"
"tsorn","15221","36"
"t2c3n","15276","71"
"t2c3n","15635","31"
"tmrln","16067","68"
"t2a1n","17432","34"
"tmr2n","17652","72"
"tcegn","18145","34"
"tsoon","18868","34"
"tsprn","19079","34"
"tsprn","19261","62"
"tsprn","19645","6D"
"tsoon","21585","36"
"tsonn","22371","34"
"tsonn","23607","31"
"tspnn","26362","35"
"tspnn","26885","6D"
"t22gn","121523","31"
