"Car","Price","Colour"
"t271n","2551","31"
"tsgtn","4197","62"
"t2con","5199","31"
"ttr1n","5329","62"
"tsgtn","5335","35"
"tlv1n","5401","35"
"t2con","5682","72"
"tlv1n","5896","62"
"ttron","6264","62"
"t2xxn","6440","62"
"tlvon","7115","31"
"t2c4n","7458","62"
"tlevn","7718","6D"
"tlevn","7778","65"
"t2c4n","7789","34"
"t285n","8019","31"
"tstln","9826","34"
"tspon","10477","62"
"tspon","10503","36"
"tm2vn","10895","34"
"tspon","11841","71"
"tm2vn","12365","61"
"tsorn","15487","36"
"t2spn","15570","36"
"tmrln","15718","68"
"tmrln","16816","34"
"tmr2n","17439","62"
"tmr2n","18262","6D"
"tsprn","19812","62"
"tsonn","23395","34"
"tspnn","28444","31"
"tspnn","29000","35"
"t22gn","119832","31"
"t22gn","120548","34"
