"Car","Price","Colour"
"nq13n","2509","65"
"nq13n","2533","62"
"nq13n","2576","6C"
"nq13n","2802","36"
"n2mtn","3459","6E"
"ns13n","3668","61"
"nq23n","3784","36"
"npron","3912","62"
"npron","4131","71"
"npron","4298","36"
"ns13n","4340","71"
"nq23n","4428","72"
"nq23n","4469","33"
"nq23n","4472","68"
"ns13n","5315","62"
"nm32n","5873","73"
"n432n","6088","73"
"nm32n","6137","36"
"npron","6279","31"
"ns23n","7233","36"
"n230n","7239","31"
"nt32n","7244","34"
"nt32n","7598","6D"
"n432n","7758","35"
"nt32n","8231","33"
"ns23n","8249","6C"
"n432n","8274","31"
"nt32n","8835","36"
"nq15n","10065","6D"
"nprin","10107","34"
"nq15n","10206","73"
"n18sn","10377","75"
"nq15n","11001","36"
"n180n","11538","36"
"ne14n","12103","36"
"nt33n","12303","62"
"n18nn","12321","31"
"nt33n","12393","73"
"nq15n","12628","31"
"ns14n","12744","71"
"n231n","12863","71"
"ne14n","12972","70"
"ns14n","13245","36"
"ne15n","14272","34"
"n2ksn","15196","36"
"n2ksn","15263","31"
"ns15n","15545","62"
"nzx3n","15568","6D"
"nzx2n","17710","34"
"nzx2n","18217","36"
"nzxsn","18611","34"
"n2s4n","21777","71"
"nr32n","21841","73"
"n2s4n","23175","70"
"n24zn","23354","62"
"nr32n","23746","6F"
"n24zn","24921","63"
"nr32n","26378","62"
"n2r4n","29642","77"
"nv12n","30063","35"
"n2r4n","30173","73"
"nv12n","31865","34"
"nv12n","32605","73"
"n2r4n","33561","34"
"nv33n","34195","62"
"n2sgn","34977","34"
"nr34n","35384","36"
"nv34n","35973","34"
"nr34n","35997","35"
"nv33n","37308","35"
"nv34n","37654","31"
"nv22n","40188","31"
