"Car","Price","Colour"
"nq13n","2401","71"
"nq13n","2616","6C"
"n2mtn","3285","71"
"nq23n","3344","31"
"nq13n","3458","61"
"nq23n","4166","71"
"nq23n","4377","6D"
"nq23n","4452","36"
"nm32n","4765","62"
"nq23n","5091","35"
"npron","5254","6C"
"n432n","5693","34"
"n432n","5719","73"
"npron","6117","31"
"nplon","7239","35"
"nt32n","7420","62"
"n230n","7482","31"
"nprin","7555","71"
"nq14n","7952","36"
"ns23n","8013","62"
"nt32n","8074","33"
"ns23n","8097","33"
"nq14n","8320","71"
"nt32n","8445","35"
"nprin","8487","36"
"nt32n","8760","31"
"nprin","9159","31"
"nt32n","9643","36"
"n180n","10714","31"
"nq15n","10738","36"
"nq15n","10778","34"
"n18sn","11295","31"
"n18nn","12051","62"
"n180n","12421","36"
"n231n","12923","71"
"nt33n","13378","36"
"ns14n","13557","34"
"n18nn","13597","31"
"nt33n","13934","35"
"nr02n","15084","36"
"ns15n","15935","62"
"nr02n","16038","62"
"ns15n","16999","73"
"nzxsn","18561","34"
"nzx2n","19143","34"
"n24zn","22523","31"
"n24zn","23908","62"
"nr32n","24064","34"
"n2s4n","25215","31"
"nr32n","26095","62"
"nv12n","31765","36"
"nr33n","31937","31"
"n2r4n","33471","35"
"nv34n","33991","73"
"n2sgn","34313","36"
"nr34n","35191","31"
"nv22n","35398","6F"
"nv34n","36217","34"
"nv22n","36226","73"
"nr34n","36294","36"
"nv33n","37492","35"
"nv22n","37670","36"
