"Car","Price","Colour"
"a2bin","2883","70"
"a2bin","3498","62"
"av16n","5747","6D"
"an16n","5775","34"
"an16n","6444","31"
"aminn","7794","70"
"afr7n","7971","31"
"as16n","8059","36"
"adlxn","8149","34"
"afr7n","8248","36"
"a2azn","8344","71"
"amisn","8376","36"
"amivn","8933","36"
"amivn","9156","32"
"a2spn","9180","37"
"ademn","9204","74"
"amisn","9359","73"
"a2aan","10376","71"
"a2bgn","11016","62"
"ademn","11092","34"
"a2spn","11634","73"
"a2spn","12446","62"
"afo7n","17139","36"
"afo7n","19343","34"
"afx7n","21453","62"
"a2rbn","22693","62"
"afa7n","25341","62"
"a2rsn","25772","62"
