"Car","Price","Colour"
"t271n","3157","69"
"t261n","3769","6B"
"t2con","4620","62"
"t2con","5377","35"
"t2con","5558","72"
"ttr1n","5666","62"
"t2xxn","6362","62"
"tlv1n","6378","35"
"tlv1n","6551","31"
"t285n","6878","34"
"tlvon","7213","31"
"t285n","7683","31"
"ttron","7828","31"
"ttrnn","8469","36"
"tstln","8891","31"
"tstln","8956","71"
"tlevn","9223","34"
"tspon","9315","6C"
"t2crn","10729","34"
"tspon","10942","31"
"tceln","11241","6B"
"tceln","12586","31"
"tm2vn","12618","6D"
"tmrln","14186","62"
"tsorn","14191","62"
"tcegn","14305","36"
"tsorn","14686","71"
"tcegn","14767","31"
"t2spn","16251","72"
"tsorn","16395","31"
"tcegn","16448","71"
"tmr2n","18731","31"
"tsprn","19606","71"
"tsoon","19694","34"
"tsoon","20559","36"
"tsonn","21815","34"
"tsonn","23328","71"
"tspnn","27597","34"
"tspnn","29808","36"
