"Car","Price","Colour"
"nq13n","2331","65"
"nq13n","2514","34"
"nq13n","2544","71"
"nq23n","3522","31"
"ns13n","3571","34"
"nq23n","3939","36"
"nq23n","3998","68"
"ns13n","4013","71"
"nq23n","4131","6C"
"nq23n","4297","72"
"ns13n","4365","6C"
"nm32n","4749","6F"
"nm32n","5372","73"
"ns13n","5373","6D"
"npron","6138","6C"
"n432n","6144","73"
"npron","6355","31"
"nprin","7184","71"
"nplon","7518","35"
"nplon","7798","36"
"nm32n","7819","37"
"ns23n","7911","36"
"n432n","7967","31"
"n432n","8327","62"
"ns23n","8624","6D"
"nq14n","8851","71"
"nm32n","9256","31"
"nq14n","9753","31"
"n18sn","9959","34"
"ns14n","11644","70"
"n180n","12078","31"
"ne14n","13211","62"
"n18nn","13220","75"
"n231n","13876","71"
"nzx3n","14001","62"
"n231n","14391","71"
"nt33n","14426","35"
"ns15n","14776","73"
"nzxvn","15066","31"
"nt33n","15099","34"
"ns15n","15104","31"
"nr02n","15204","36"
"ns15n","15578","34"
"ne15n","15785","31"
"n2ksn","16656","31"
"nzxsn","16709","73"
"nzx3n","17236","6D"
"n280n","22412","34"
"n2s4n","24241","6D"
"n24zn","24252","63"
"nv12n","30290","73"
"nr33n","30997","31"
"nr33n","31140","36"
"nv12n","31558","36"
"nr33n","31649","73"
"nv12n","31747","6F"
"n2r4n","32639","62"
"nv12n","33049","34"
"nv33n","34124","36"
"nv33n","34189","31"
"nr34n","34561","36"
"nv33n","34826","34"
"nv34n","35218","62"
"n2sgn","35563","36"
"nv22n","35571","62"
"nv33n","37371","35"
"nv22n","41762","31"
