"Car","Price","Colour"
"_nax3n","15379","62"
"_nax3n","15737","31"
"_naxvn","15825","31"
"_naxsn","15983","62"
"_nax3n","16043","62"
"_naxvn","16129","34"
"_naxvn","16629","62"
"_naxvn","16634","31"
"_naxvn","16942","6D"
"_naxvn","17495","36"
"_naxsn","18070","6D"
"_naxsn","19293","34"
"nzx3n","15379","62"
"nzx3n","15737","31"
"nzxvn","15825","31"
"nzxsn","15983","62"
"nzx3n","16043","62"
"nzxvn","16129","34"
"nzxvn","16629","62"
"nzxvn","16634","31"
"nzxvn","16942","6D"
"nzxvn","17495","36"
"nzxsn","18070","6D"
"nzxsn","19293","34"
