"Car","Price","Colour"
"s2vin","8286","62"
"s2vin","8800","34"
"s2vin","9114","36"
"sipzn","12707","73"
"slgwn","12760","65"
"slgwn","13090","73"
"sipzn","13101","31"
"sipwn","14023","34"
"slgwn","14390","6D"
"sipzn","14551","65"
"ssvxn","15666","31"
"sipcn","15744","73"
"ssvxn","16882","35"
"siprn","18063","31"
"s2iwn","18571","36"
"slgbn","18590","68"
"slgan","18745","6D"
"s2iwn","19009","31"
"ssv4n","19414","34"
"sipdn","19611","31"
"sipbn","20063","70"
"sipdn","20614","36"
"slgan","20888","35"
"slgan","22251","65"
"s2w4n","22477","31"
"s2i5n","26819","31"
"s2i5n","26827","62"
"s2i5n","27094","36"
"s2r5n","27170","36"
"s222n","52312","73"
