"Car","Price","Colour"
"s2vin","9239","36"
"sipwn","11402","65"
"slgnn","12479","65"
"slgwn","13421","34"
"slgwn","13619","6D"
"sipzn","14075","65"
"slgbn","15443","73"
"s2wwn","17022","65"
"siptn","17679","34"
"siprn","17778","68"
"sipan","17875","34"
"sipan","17956","73"
"siprn","18066","73"
"siprn","18591","31"
"slgan","19573","31"
"slgan","19602","36"
"slgbn","19941","6D"
"sipbn","20047","31"
"slgbn","20109","35"
"s2lbn","20595","73"
"s2lbn","20599","62"
"sipbn","21128","34"
"sipbn","21932","70"
"slgan","22016","68"
"s2w4n","23249","36"
"s2w4n","23549","73"
"s2r4n","24868","36"
"s2r5n","26001","36"
"s2w5n","26620","35"
"s2i5n","27488","35"
"s2r5n","28479","35"
