"Car","Price","Colour"
"sipzn","11562","34"
"slgnn","12309","62"
"sipwn","12544","65"
"sipwn","13288","73"
"slgwn","13487","36"
"sipcn","14918","34"
"sipcn","16225","36"
"slgbn","16550","65"
"slgbn","17342","6D"
"sipan","17629","73"
"ssvxn","17721","62"
"s2iwn","18363","65"
"sipan","18420","31"
"slgan","18483","73"
"sipan","18510","65"
"s2wwn","18666","73"
"s2iwn","19735","36"
"slgan","19740","35"
"sipdn","20304","31"
"sipbn","20600","70"
"slgan","21322","36"
"s2i4n","22388","31"
"s2w4n","22749","73"
"s2w5n","24001","36"
"s2w5n","24627","31"
"s2i5n","25766","36"
"s2i5n","25868","35"
"s2i5n","27165","31"
"s2i5n","27255","34"
"s2r5n","27683","62"
