"Car","Price","Colour"
"a2bsn","4864","36"
"a2bsn","5249","35"
"an16n","5317","71"
"a222n","5663","36"
"an16n","5732","34"
"an16n","6829","62"
"altsn","6993","34"
"aminn","7417","72"
"afr7n","7753","31"
"adgln","8023","62"
"amisn","8114","65"
"adlxn","8203","34"
"adlxn","8257","62"
"amisn","8819","31"
"afc7n","9024","62"
"ademn","9677","65"
"adlxn","9923","31"
"ademn","10141","6E"
"ademn","10444","34"
"a2aan","11081","71"
"acosn","13722","34"
"a2spn","15954","6D"
"a2rsn","19587","36"
"afx7n","19817","31"
"acoen","19993","71"
"a2rbn","21334","31"
"acoen","24679","36"
