"Car","Price","Colour"
"t2con","4084","34"
"t211n","5489","31"
"t2con","5565","31"
"tlv1n","5602","35"
"t211n","5768","71"
"tlv1n","6019","31"
"tsgtn","6034","32"
"ttr1n","6046","35"
"tlvon","7418","31"
"t285n","7635","31"
"ttron","7718","31"
"tlevn","8455","36"
"tm2sn","9341","31"
"tspon","9405","6C"
"tlevn","9587","34"
"tstln","9766","34"
"t2crn","10410","34"
"texvn","10575","6C"
"tspon","10959","32"
"tspon","11124","71"
"tceln","11298","62"
"tcegn","15195","31"
"t2a1n","16397","6D"
"tcegn","16557","71"
"t2spn","16734","31"
"t2spn","17020","67"
"tmr2n","17626","36"
"tsoon","18768","71"
"tsprn","19628","34"
"tsprn","20244","31"
"tsprn","22719","36"
"t22gn","118440","31"
