"Car","Price","Colour"
"a2bin","3335","71"
"a2bin","3355","31"
"a2bin","3378","35"
"a2bin","3486","34"
"a2bsn","5457","36"
"an16n","6593","62"
"afr7n","7245","73"
"adlxn","7565","62"
"altsn","7579","73"
"aminn","7636","36"
"aminn","7663","72"
"as16n","7859","36"
"altsn","8522","70"
"adgln","8640","71"
"aminn","8756","31"
"ademn","8804","63"
"afc7n","9099","36"
"ademn","9572","6E"
"ademn","9662","32"
"amivn","9699","36"
"amisn","9784","73"
"amivn","10029","6C"
"a2aan","10077","71"
"ademn","10117","72"
"acosn","10491","71"
"afc7n","11183","35"
"a2spn","11778","73"
"a2spn","13087","36"
"acosn","14280","34"
"afo7n","15161","62"
"afo7n","15228","36"
"afx7n","17829","31"
"afo7n","20732","31"
"a2rbn","25056","34"
