"Car","Price","Colour"
"s2vin","9137","36"
"sipzn","10921","34"
"slgnn","12163","73"
"sipcn","13224","65"
"slgwn","13717","34"
"sipzn","13968","36"
"siptn","15665","65"
"sipan","16788","36"
"sipcn","16996","36"
"s2iwn","17418","65"
"siptn","17617","34"
"ssvxn","18075","62"
"sipan","18652","73"
"s2wwn","18847","34"
"s2lbn","19212","31"
"s2iwn","19271","31"
"slgbn","19655","36"
"ssv4n","19718","6C"
"s2wwn","19944","31"
"slgbn","20504","6D"
"sipbn","22051","70"
"s2w4n","22697","36"
"s2lbn","23958","36"
"slgan","24959","68"
"s2i5n","25410","62"
"s2w5n","25698","31"
"s2r5n","27427","31"
"s2i5n","27912","35"
"s222n","54006","73"
