"Car","Price","Colour"
"a2bin","3179","36"
"a2bin","3614","62"
"a2bsn","4626","35"
"a2bsn","5185","62"
"a2bsn","5223","36"
"an16n","5523","71"
"a222n","6025","31"
"afr7n","6394","62"
"an16n","6553","62"
"afr7n","7279","73"
"altsn","7621","34"
"afr7n","7872","31"
"aminn","7903","6D"
"aminn","8042","36"
"ademn","8224","6B"
"adgln","8263","6B"
"adlxn","8296","71"
"adlxn","8461","64"
"adgln","8537","6D"
"ademn","8649","6C"
"a2spn","8810","37"
"as16n","8842","62"
"ademn","9580","6D"
"ademn","10200","31"
"amivn","10340","35"
"ademn","10449","34"
"a2aan","10561","71"
"amivn","11089","6D"
"ademn","11166","35"
"afc7n","12345","31"
"acoen","15191","62"
"afo7n","17549","34"
"afo7n","18367","31"
"afd7n","20143","36"
"afx7n","20293","31"
"acoen","20810","34"
"afx7n","21024","36"
"a2rrn","24308","36"
