"Car","Price","Colour"
"nq13n","2527","62"
"n2mtn","3424","6E"
"n2mtn","3472","36"
"ns13n","3580","34"
"ns13n","3686","65"
"nq23n","3848","61"
"ns13n","3974","71"
"ns13n","4022","61"
"nq23n","4460","71"
"nq23n","4616","6D"
"npron","5023","35"
"nm32n","5192","6D"
"npron","5629","34"
"nplon","7248","35"
"ns23n","7322","36"
"nprin","7329","71"
"ns23n","7700","6C"
"nt32n","7758","6F"
"ns23n","7995","62"
"nm32n","8391","37"
"nq14n","8417","31"
"ns23n","8460","35"
"nprin","8477","31"
"nt32n","8589","35"
"nq14n","8609","36"
"ns23n","8647","68"
"nq14n","8876","34"
"n230n","9328","34"
"n180n","10836","31"
"nq15n","11360","62"
"n18nn","11406","36"
"n18sn","11495","75"
"n18nn","11816","75"
"nt33n","12084","62"
"n231n","12364","71"
"ne14n","13050","71"
"n231n","13537","71"
"ne14n","13776","34"
"ns14n","14067","36"
"ne14n","14445","31"
"ne15n","14967","62"
"ne15n","14998","6D"
"ns15n","15103","36"
"nr02n","16380","35"
"nzx3n","16577","62"
"nzx2n","17062","36"
"nzxvn","17113","31"
"nzx2n","18682","73"
"nzxsn","18943","31"
"nzxsn","19284","36"
"n280n","20163","35"
"n24zn","20999","31"
"nr32n","22583","6F"
"nr32n","23844","62"
"n2s4n","24789","31"
"nn32n","28776","35"
"nr32n","29573","31"
"n2r4n","30057","77"
"nr33n","30874","34"
"nv12n","31713","62"
"nv34n","34239","35"
"n2sgn","36096","36"
"nv22n","37457","36"
"nv22n","40759","34"
"nv22n","43583","31"
