"Car","Price","Colour"
"s2v4n","8849","31"
"slgnn","12145","34"
"slgwn","13344","6D"
"slgwn","14319","73"
"slgwn","14504","36"
"sipcn","15093","34"
"sipcn","16850","36"
"sipsn","16913","65"
"sipsn","17447","31"
"slgbn","18723","68"
"sipbn","19985","31"
"s2lbn","20512","31"
"slgan","20661","36"
"sipbn","21000","70"
"s2lbn","21393","73"
"s2w4n","22333","73"
"s2i4n","23073","31"
"s2lbn","23401","62"
"s2lbn","23884","68"
"s2i4n","24256","36"
"s2w5n","24790","36"
"s2i5n","25415","36"
"s2i5n","26044","34"
"s2i5n","26207","31"
"s2w5n","26910","34"
"s2r5n","27357","31"
"s2i5n","27858","35"
