"Car","Price","Colour"
"t261n","3606","6B"
"ttr1n","5084","62"
"t2con","5181","62"
"t211n","5692","34"
"t2xxn","5920","34"
"t211n","5987","71"
"tlv1n","6251","31"
"tsgtn","6650","32"
"t285n","7026","34"
"t2c4n","7542","35"
"tlvon","7734","31"
"ttrnn","8140","65"
"ttrnn","8664","31"
"tspon","9262","6C"
"tm2sn","9304","31"
"tstln","9986","36"
"tspon","10235","36"
"tstln","10245","34"
"tspon","11015","32"
"t2crn","11110","65"
"tcegn","14686","31"
"tmrln","15151","6D"
"t2c3n","15267","62"
"tcegn","16654","34"
"t2a1n","17651","34"
"tmr2n","18135","72"
"tmr2n","18189","68"
"tmr2n","18784","31"
"tsprn","20632","6D"
"tsprn","20737","62"
"tspnn","24522","62"
"tspnn","28852","35"
"t22gn","121632","31"
