"Car","Price","Colour"
"t271n","3278","34"
"t2con","4023","34"
"t2con","5395","35"
"tsgtn","6309","71"
"tlvon","6667","62"
"ttr1n","6864","31"
"ttron","7160","62"
"t2c4n","8189","34"
"tm2sn","8588","31"
"tstln","10062","34"
"tm2vn","11155","34"
"tceln","12837","31"
"t2spn","15472","62"
"t2c3n","15573","36"
"tcegn","15667","36"
"tcegn","17300","71"
"t2a1n","17714","34"
"tsoon","18480","65"
"tsoon","18559","71"
"tmr2n","19048","34"
"tsoon","19346","62"
"tmr2n","19570","68"
"tsprn","20807","36"
"tsonn","22481","36"
"tspnn","26695","62"
