"Car","Price","Colour"
"t271n","2972","36"
"t271n","3201","69"
"t2con","4906","35"
"t2con","4945","31"
"t2con","5134","65"
"t2con","5159","62"
"tlv1n","5300","62"
"ttr1n","5617","62"
"t211n","5705","71"
"t2xxn","5823","34"
"tlvon","6419","62"
"ttr1n","6486","35"
"tlv1n","6628","31"
"ttron","6732","62"
"tm2sn","7110","6D"
"ttron","7168","36"
"t285n","8251","31"
"tstln","8953","62"
"tstln","9160","31"
"tlevn","9354","34"
"tspon","9846","71"
"tstln","10023","34"
"texvn","10260","71"
"texvn","10785","6C"
"t2crn","11171","65"
"tceln","11926","6B"
"tm2vn","12331","6D"
"texvn","12810","31"
"tcegn","14214","62"
"tmrln","14526","36"
"tcegn","15558","31"
"t2c3n","15662","31"
"tcegn","16677","34"
"t2a1n","17196","61"
"tsprn","18626","34"
"tsoon","19174","62"
"tsprn","20761","31"
"tspnn","24296","6D"
"tsonn","25303","31"
"tspnn","27953","34"
