"Car","Price","Colour"
"t271n","2488","31"
"t261n","3600","6B"
"tsgtn","4131","31"
"t2con","5046","62"
"tlv1n","5108","62"
"t2con","5333","35"
"t2con","5518","31"
"ttr1n","5532","35"
"t2con","5702","72"
"ttron","6104","36"
"tlvon","6516","62"
"tlvon","7096","31"
"tlevn","8192","6D"
"t285n","8192","31"
"tstln","8417","71"
"tstln","9499","36"
"t2crn","10372","34"
"tspon","11576","31"
"tceln","11651","6B"
"tceln","13449","31"
"tcegn","14368","36"
"tsorn","16098","31"
"tcegn","16185","62"
"tmr2n","16501","62"
"t2a1n","17196","61"
"tcegn","17309","34"
"tsprn","19822","62"
"tsoon","20033","34"
"tsprn","20151","34"
"tsprn","20347","36"
"tsoon","21368","36"
"tsonn","23215","62"
"tspnn","27295","6D"
"tspnn","28752","35"
"t22hn","109849","36"
