"Car","Price","Colour"
"t271n","2535","31"
"tsgtn","4177","62"
"tsgtn","4268","31"
"t261n","4324","62"
"t2con","4553","62"
"t2con","4790","65"
"tsgtn","5096","35"
"t211n","5641","71"
"t2xxn","5769","62"
"ttr1n","5826","62"
"t211n","5964","34"
"tm2sn","7143","61"
"ttron","7736","31"
"ttrnn","7911","65"
"tlvon","8312","31"
"tstln","8361","71"
"tlevn","8542","36"
"ttrnn","8715","31"
"tstln","9118","31"
"t2crn","10542","62"
"tm2vn","10895","34"
"t2crn","12040","31"
"tm2vn","12857","6D"
"t2c3n","15065","71"
"tmrln","15243","6D"
"t2c3n","15913","31"
"t2a1n","16321","6D"
"t2spn","17732","34"
"tsoon","19014","65"
"tsprn","20180","62"
"t22gn","114727","79"
"t22gn","121641","62"
