"Car","Price","Colour"
"t271n","2427","31"
"t271n","3055","36"
"t2con","4890","31"
"t2con","4901","62"
"t2con","5031","35"
"tsgtn","5321","35"
"t2xxn","5337","34"
"t211n","5397","31"
"tlv1n","5484","62"
"tlv1n","5512","35"
"t211n","5932","71"
"t2con","6203","72"
"ttron","6224","62"
"tlvon","6503","62"
"tsgtn","6524","32"
"t285n","6964","34"
"ttr1n","7221","31"
"tlvon","7327","31"
"tstln","8311","62"
"tm2sn","9027","31"
"tspon","10146","36"
"t2crn","11720","35"
"tceln","11751","6B"
"tceln","12488","36"
"tceln","12823","34"
"tsorn","14139","6D"
"tsorn","14365","62"
"tmrln","14680","72"
"tcegn","15336","62"
"t2c3n","16057","31"
"t2spn","16375","31"
"t2spn","17154","34"
"tmr2n","17568","6D"
"tsoon","17679","71"
"tmr2n","17897","62"
"tsoon","19386","34"
"tsprn","19390","34"
"tsoon","20507","36"
"tsprn","20886","35"
"tspnn","29808","36"
