"Car","Price","Colour"
"a2bin","3214","6F"
"a2bin","3357","34"
"a2bin","3395","35"
"a2bin","3660","31"
"a2bsn","4337","35"
"a2bsn","4595","62"
"a2bsn","4962","36"
"a2bsn","5717","31"
"a222n","6040","68"
"an16n","6393","31"
"an16n","6582","62"
"aminn","7229","74"
"adgln","8457","62"
"adgln","8687","71"
"ademn","8763","6C"
"a2azn","8916","62"
"ademn","9311","71"
"ademn","9317","64"
"amisn","9433","31"
"amisn","9689","73"
"ademn","9853","34"
"a2aan","10044","71"
"acosn","13166","62"
"a2spn","16131","36"
"a2rbn","19693","36"
"a2rbn","19985","62"
"afa7n","22493","31"
"a2rbn","23714","34"
"a2rsn","25923","62"
"a2rrn","27540","68"
"a2rzn","27582","36"
