"Car","Price","Colour"
"a2bin","3278","36"
"a2bin","3358","35"
"a2bin","3381","34"
"a2bsn","4780","71"
"a2bsn","4853","62"
"a2bsn","4942","35"
"afr7n","6341","62"
"av16n","7157","36"
"altsn","7561","36"
"aminn","7925","36"
"aminn","8425","62"
"adgln","8754","34"
"amisn","8799","6D"
"amisn","8840","72"
"amisn","8907","36"
"amivn","9047","36"
"ademn","9053","62"
"a2aan","10041","71"
"ademn","10143","32"
"a2spn","10665","31"
"amivn","10954","6D"
"acosn","11126","71"
"amivn","11378","6C"
"a2spn","14301","6D"
"afo7n","14966","62"
"afo7n","15801","36"
"afb7n","16654","34"
"afo7n","18387","68"
"afo7n","20127","31"
"afx7n","22121","36"
"a2rsn","23262","31"
"a2rrn","24832","36"
"afa7n","25908","62"
