"Car","Price","Colour"
"nq13n","2347","34"
"nq13n","2614","71"
"nq13n","3333","61"
"n2mtn","3428","6E"
"ns13n","3608","34"
"nq23n","3863","36"
"npron","4015","71"
"ns13n","4035","36"
"ns13n","4113","71"
"ns13n","4147","6C"
"nq23n","4837","35"
"npron","4930","34"
"nm32n","5123","6D"
"nm32n","6761","36"
"nprin","6971","71"
"n230n","7159","62"
"nplon","7539","35"
"nplon","7543","62"
"nt32n","7840","33"
"nt32n","7929","34"
"nt32n","8181","31"
"n432n","8190","35"
"ns23n","8483","6C"
"nq14n","9493","36"
"nprin","10030","35"
"nq14n","10364","31"
"n18nn","11987","62"
"nq15n","12638","31"
"n18nn","13683","31"
"nt33n","14412","34"
"n231n","14420","71"
"ns14n","14485","31"
"ns15n","14657","36"
"ns15n","14811","34"
"nzxvn","15165","77"
"naxvn","15400","62"
"nr02n","16081","36"
"n2ksn","16167","36"
"naxvn","16263","77"
"n2ksn","16317","73"
"nzxvn","16319","73"
"nzxvn","16774","6D"
"naxvn","17120","34"
"nax3n","17923","36"
"naxsn","18424","36"
"nzx2n","19282","36"
"nzxsn","19997","31"
"nzx2n","20297","31"
"nr32n","21900","35"
"nr32n","23064","62"
"n24zn","23995","63"
"nr34n","30954","77"
"nr33n","30994","77"
"nv12n","32213","62"
"n2r4n","32599","73"
"n2r4n","32692","62"
"nv33n","32745","77"
"n2r4n","35528","31"
"nv33n","35665","35"
"nr34n","35832","36"
"n271n","36280","34"
"nv34n","36862","34"
"nv34n","37150","36"
"nv34n","37497","31"
"nv22n","37922","31"
