"Car","Price","Colour"
"nq13n","2383","34"
"nq13n","2585","6C"
"n2mtn","3408","71"
"n2mtn","3516","36"
"ns13n","3899","36"
"nq23n","4021","72"
"ns13n","4157","71"
"nq23n","4297","6D"
"nq23n","4339","61"
"nq23n","4522","35"
"ns13n","4589","6C"
"nq23n","4622","68"
"npron","5903","6C"
"nm32n","6408","34"
"nm32n","6745","36"
"ns23n","7189","36"
"nt32n","7405","62"
"nplon","7620","31"
"n180n","7892","62"
"n230n","7960","31"
"ns23n","8141","68"
"ns23n","8505","6C"
"nt32n","8647","36"
"nq14n","8786","62"
"ns23n","8817","61"
"ns23n","8959","33"
"nprin","9719","31"
"nprin","10302","34"
"n180n","10458","31"
"nq15n","11133","73"
"n18sn","11188","62"
"n231n","12812","71"
"nr02n","14320","62"
"ns15n","14617","34"
"ns15n","14701","31"
"nt33n","14888","35"
"nzxvn","15923","31"
"ns15n","16690","36"
"nzxsn","17070","73"
"nzx2n","17350","73"
"nzx3n","18048","34"
"nr32n","21125","36"
"nr33n","29638","73"
"nv12n","30192","73"
"nr33n","30470","36"
"nv12n","30552","62"
"nr33n","30932","77"
"n2sgn","31311","31"
"nv12n","31809","36"
"nr34n","32359","77"
"nv33n","32931","77"
"nv22n","33565","62"
"nv34n","34212","77"
"n2r4n","34693","36"
"n2r4n","34703","31"
"nv34n","36389","31"
