"Car","Price","Colour"
"t271n","2432","31"
"t271n","2930","36"
"tsgtn","4058","31"
"t2con","4733","65"
"t2con","5507","31"
"tlv1n","5614","35"
"t211n","5822","34"
"tlv1n","5993","62"
"tsgtn","6318","32"
"tlvon","6409","62"
"t2xxn","6634","62"
"t2c4n","6855","62"
"tlvon","7359","31"
"ttron","7916","36"
"tlevn","8738","36"
"ttrnn","8751","36"
"tstln","8862","31"
"tstln","9016","71"
"t2crn","10616","65"
"tspon","10691","6C"
"t2crn","10870","35"
"tceln","12002","71"
"tceln","12707","31"
"t2c3n","14954","71"
"tmrln","14964","31"
"tsorn","15434","36"
"tcegn","15683","6B"
"t2spn","15856","62"
"tcegn","15879","62"
"t2c3n","15932","34"
"tsorn","16208","34"
"t2a1n","17808","35"
"tsoon","18794","65"
"tsprn","19593","31"
