"Car","Price","Colour"
"t211n","5066","62"
"ttr1n","5151","62"
"tsgtn","6063","71"
"t2con","6067","72"
"t285n","7118","62"
"ttron","7234","31"
"ttron","7364","36"
"tstln","8692","71"
"tspon","10010","36"
"tstln","10130","34"
"tspon","10575","6C"
"t2crn","10715","34"
"tspon","11044","71"
"tceln","12505","36"
"tmrln","14013","62"
"tsorn","14813","36"
"t2spn","15367","36"
"tmr2n","15578","62"
"tsorn","16098","31"
"t2spn","16209","31"
"t2spn","16445","72"
"tmr2n","16782","36"
"tcegn","16960","71"
"tmr2n","18078","31"
"tsprn","18784","34"
"t2a1n","18851","35"
"tsoon","19630","65"
"tsoon","19897","62"
"tsonn","21468","34"
"tsoon","22207","31"
"tsonn","23104","36"
"tsonn","23119","6D"
"tspnn","26420","62"
