"Car","Price","Colour"
"nq13n","2307","65"
"nq13n","2364","34"
"nq13n","2527","62"
"nq13n","2648","36"
"nq13n","2705","6C"
"n2mtn","3248","36"
"n2mtn","3450","71"
"ns13n","3752","34"
"ns13n","3826","36"
"ns13n","4024","71"
"npron","4077","71"
"nq23n","4128","62"
"ns13n","4214","6C"
"nq23n","4306","72"
"nm32n","5088","73"
"npron","5462","31"
"npron","5585","34"
"ns23n","7248","31"
"ns23n","7378","72"
"nplon","7704","35"
"nt32n","7822","34"
"nplon","7823","36"
"nt32n","8191","62"
"n230n","8259","34"
"ns23n","8269","36"
"nprin","8322","6C"
"ns23n","8329","68"
"nt32n","8509","31"
"nq14n","8934","36"
"ns23n","9215","6D"
"n432n","9240","62"
"nprin","9323","34"
"nq14n","9327","70"
"nq14n","9510","34"
"nprin","9571","36"
"n18sn","10392","34"
"nprin","10703","35"
"n180n","11863","31"
"ns14n","11963","36"
"n180n","12142","36"
"nt33n","13048","62"
"n18nn","13698","62"
"nt33n","13883","73"
"nt33n","14896","31"
"nr02n","15130","34"
"nzxvn","15345","31"
"nzx3n","15369","73"
"ns15n","15616","62"
"nzx3n","15734","34"
"nzxvn","15945","62"
"nzx3n","16198","73"
"n2ksn","16727","34"
"nzxsn","17816","36"
"nzx2n","18882","62"
"nzx2n","18885","34"
"nzxsn","20009","31"
"nr32n","20556","36"
"n2s4n","21525","34"
"nv12n","30407","6F"
"nv12n","31320","62"
"nr33n","33076","31"
"nv34n","34339","35"
"nr34n","35588","34"
"nv33n","35591","62"
"nv34n","35782","34"
"n271n","35836","62"
"nv33n","36415","35"
"nv22n","37958","73"
"nv22n","38791","34"
