"Car","Price","Colour"
"slgnn","12520","65"
"slgwn","12932","34"
"sipzn","13540","31"
"sipwn","13585","36"
"slgwn","14629","6D"
"siptn","15908","31"
"siptn","16482","65"
"sipan","16580","34"
"sipan","17260","73"
"ssvxn","17727","34"
"siprn","18845","73"
"slgan","18855","36"
"slgbn","19017","68"
"slgan","19057","31"
"sipbn","19673","70"
"slgbn","20556","35"
"ssv4n","20875","6C"
"slgan","21036","35"
"sipdn","21191","34"
"s2lbn","21546","31"
"slgan","22174","65"
"ssv4n","22334","62"
"s2w4n","22441","73"
"s2w4n","22634","31"
"s2i4n","23080","36"
"s2lbn","23226","34"
"s2r4n","23510","31"
"slgan","23523","34"
"s2w5n","24517","31"
"s2i5n","26462","35"
"s2w5n","27015","35"
"s222n","56732","73"
